no,name,apt_id,lon,lat,dist,url
4149,석문유치원,1165010846,127.0183925,37.49200276,692.7997921,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4164,석문유치원,1165010812,127.0183925,37.49200276,974.6943952,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4183,서초유치원,1165010306,127.0162145,37.4560926,876.8016912,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005917
4204,석문유치원,1165010802,127.0183925,37.49200276,255.6686254,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4233,석문유치원,1165010834,127.0183925,37.49200276,808.1732619,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4238,석문유치원,1165010839,127.0183925,37.49200276,212.4826862,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4240,서초유치원,1165010305,127.0162145,37.4560926,878.1879968,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005917
4248,석문유치원,1165010828,127.0183925,37.49200276,179.718319,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4249,석문유치원,1165010826,127.0183925,37.49200276,550.7372312,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4318,석문유치원,1165010824,127.0183925,37.49200276,735.8323488,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4341,석문유치원,1165010832,127.0183925,37.49200276,463.0396198,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4361,하나유치원,1165010636,127.0102659,37.51519733,827.0875595,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4362,신반포중앙유치원,1165010636,127.0125033,37.51044743,511.7183732,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
4384,서초유치원,1165010312,127.0162145,37.4560926,208.6994581,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005917
4392,석문유치원,1165010807,127.0183925,37.49200276,896.2419629,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4401,석문유치원,1165010840,127.0183925,37.49200276,887.9156347,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4413,석문유치원,1165010823,127.0183925,37.49200276,252.5912511,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4427,석문유치원,1165010829,127.0183925,37.49200276,894.4767438,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4455,석문유치원,1165010821,127.0183925,37.49200276,512.000878,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4460,석문유치원,1165010810,127.0183925,37.49200276,827.3479074,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4461,석문유치원,1165010825,127.0183925,37.49200276,527.4812611,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4473,석문유치원,1165010851,127.0183925,37.49200276,947.4753757,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4477,하나유치원,1165010637,127.0102659,37.51519733,622.4386883,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4478,신반포중앙유치원,1165010637,127.0125033,37.51044743,418.6110427,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
4479,하나유치원,1165010608,127.0102659,37.51519733,780.9815217,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4480,세화유치원,1165010608,127.0223448,37.52149319,540.4252001,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001125
4524,하나유치원,1165010609,127.0102659,37.51519733,649.99456,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4525,신반포중앙유치원,1165010609,127.0125033,37.51044743,986.362572,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
4526,세화유치원,1165010609,127.0223448,37.52149319,632.831493,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001125
4554,석문유치원,1165010817,127.0183925,37.49200276,750.7961822,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4567,석문유치원,1165010827,127.0183925,37.49200276,306.2272722,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000819
4570,하나유치원,1165010605,127.0102659,37.51519733,806.353978,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4571,세화유치원,1165010605,127.0223448,37.52149319,635.5848505,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001125
4598,하나유치원,1165010643,127.0102659,37.51519733,576.8094212,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4599,신반포중앙유치원,1165010643,127.0125033,37.51044743,967.8093152,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
4600,세화유치원,1165010643,127.0223448,37.52149319,727.802115,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001125
4604,하나유치원,1165010615,127.0102659,37.51519733,401.4905131,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
4605,신반포중앙유치원,1165010615,127.0125033,37.51044743,661.2554812,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
4606,세화유치원,1165010615,127.0223448,37.52149319,901.791607,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001125
4607,신반포중앙유치원,1165010707,127.0125033,37.51044743,474.8347876,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100005341
4616,하나유치원,1165010602,127.0102659,37.51519733,352.4933698,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100004814
