no,apt_id,way_no,dist,x,y
5463,1165010710,45,857.5548617,127.0068338,37.50242185
5464,1165010710,106,1188.509972,127.0045705,37.51506941
5465,1165010710,119,1259.151671,127.0023835,37.50211998
5466,1165010711,106,245.2416465,126.9924945,37.50837419
5467,1165010711,119,677.9222799,126.9921709,37.49947777
5468,1165010711,45,1022.630507,127.0027237,37.50236857
5469,1165010709,119,185.073334,127.0004414,37.5013198
5470,1165010709,45,309.8561095,127.0027237,37.50236857
5471,1165010709,106,798.9665217,126.9943903,37.50884198
5472,1165010643,106,346.5646392,127.0005792,37.51287924
5473,1165010643,45,737.6932097,127.0027237,37.50236857
5474,1165010643,119,755.807146,127.0023835,37.50211998
5475,1165010860,68,968.8585988,127.0200017,37.48164634
5476,1165010860,99,1292.065066,127.021457,37.47717744
5477,1165010860,128,1805.491617,127.0339949,37.47315761
5478,1165010638,45,575.6015185,127.0063244,37.50300578
5479,1165010638,106,614.5971037,127.0037878,37.51424889
5480,1165010638,119,773.0547196,127.0023835,37.50211998
5481,1165010714,45,599.2014384,127.0086345,37.50035075
5482,1165010714,119,1133.980947,127.0023835,37.50211998
5483,1165010714,106,1443.280442,127.0037878,37.51424889
5484,1165010857,68,1234.340449,127.0200017,37.48164634
5485,1165010857,99,1529.946487,127.021457,37.47717744
5486,1165010857,10,1829.60255,127.0456139,37.48609945
5487,1165010851,45,619.6413957,127.009918,37.49871926
5488,1165010851,119,1410.89675,127.0023835,37.50211998
5489,1165010851,68,1460.620306,127.0162506,37.48472578
5490,1165010703,119,195.0787024,126.9890151,37.49896285
5491,1165010703,106,574.6580026,126.986535,37.50616475
5492,1165010703,86,595.4216086,126.9825523,37.50035711
5493,1165010717,45,185.1053979,127.0070349,37.50180554
5494,1165010717,119,649.6241956,127.0023835,37.50211998
5495,1165010717,106,1314.039962,127.0037878,37.51424889
5496,1165010312,128,179.5820529,127.018537,37.4557252
5497,1165010312,68,1651.302401,127.0140342,37.47327488
5498,1165010312,99,1905.588087,127.0312074,37.47106771
5499,1165010849,45,921.8474498,127.009918,37.49871926
5500,1165010849,68,1422.848828,127.0162506,37.48472578
5501,1165010849,119,1721.68533,127.0023835,37.50211998
5502,1165010901,129,590.5377256,127.0584791,37.4495766
5503,1165010901,10,1657.577226,127.0614935,37.46896272
5504,1165010901,99,1695.551029,127.0493783,37.46183768
5505,1165010902,129,633.8014696,127.0579888,37.450001
5506,1165010902,99,1363.06805,127.0493783,37.46183768
5507,1165010902,10,1368.030793,127.0600493,37.46886485
5508,1165010307,128,204.2375192,127.0297941,37.46543288
5509,1165010307,99,722.9909475,127.0312074,37.47106771
5510,1165010307,129,1083.813457,127.0384857,37.4664621
5511,1165010726,106,418.6065149,126.9948602,37.5092714
5512,1165010726,119,598.8182444,127.0005063,37.50134741
5513,1165010726,45,640.9693884,127.0027237,37.50236857
5514,1165010706,45,475.9372867,127.009918,37.49871926
5515,1165010706,119,1114.565257,127.0023835,37.50211998
5516,1165010706,106,1583.639181,127.0037878,37.51424889
5517,1165010648,45,486.0758694,127.0027237,37.50236857
5518,1165010648,119,504.8159753,127.0023835,37.50211998
5519,1165010648,106,597.7764922,127.0007199,37.5129029
5520,1165010646,45,751.4578499,127.0064332,37.50295204
5521,1165010646,106,850.6164106,127.0044612,37.51495477
5522,1165010646,119,1088.599317,127.0023835,37.50211998
5523,1165010802,45,1165.722745,127.009918,37.49871926
5524,1165010802,68,1751.094405,127.0162506,37.48472578
5525,1165010802,119,1898.006681,127.0023835,37.50211998
5526,1165010140,99,473.2196039,127.0033838,37.47404491
5527,1165010140,45,502.2977021,126.9986518,37.48171534
5528,1165010140,68,538.4693593,127.0028387,37.47258871
5529,1165010713,45,861.1566604,127.009918,37.49871926
5530,1165010713,119,1574.271943,127.0023835,37.50211998
5531,1165010713,68,1709.723101,127.0162506,37.48472578
5532,1165010603,106,275.335325,127.0049182,37.51577123
5533,1165010603,131,995.6208121,127.0006167,37.52192871
5534,1165010603,45,1204.405414,127.0063244,37.50300578
5535,1165010803,45,1214.86936,127.009918,37.49871926
5536,1165010803,68,1691.327171,127.0162506,37.48472578
5537,1165010803,119,1969.278203,127.0023835,37.50211998
5538,1165010852,45,314.5648189,127.009918,37.49871926
5539,1165010852,119,1130.224703,127.0023835,37.50211998
5540,1165010852,68,1448.456349,127.0162506,37.48472578
5541,1165010604,106,622.5792008,127.00395,37.51441899
5542,1165010604,45,753.5313179,127.0063244,37.50300578
5543,1165010604,119,1015.677838,127.0023835,37.50211998
5544,1165010725,45,458.9719373,127.009918,37.49871926
5545,1165010725,119,1183.416812,127.0023835,37.50211998
5546,1165010725,68,1629.476545,127.0162506,37.48472578
5547,1165010854,45,913.1997541,127.009918,37.49871926
5548,1165010854,68,1178.710752,127.0162506,37.48472578
5549,1165010854,99,1720.425042,127.0163215,37.47928
5550,1165010855,68,1342.092368,127.0200017,37.48164634
5551,1165010855,99,1684.766329,127.021457,37.47717744
5552,1165010855,45,1836.400278,127.009918,37.49871926
5553,1165010811,68,1071.778278,127.0162506,37.48472578
5554,1165010811,99,1475.984078,127.0172426,37.47904369
5555,1165010811,45,1571.554736,127.009918,37.49871926
5556,1165010201,99,232.9247239,127.0294028,37.4736604
5557,1165010201,128,298.2396982,127.0331722,37.4725887
5558,1165010201,129,664.1384522,127.0376789,37.47315704
5559,1165010619,106,361.3477776,127.0079217,37.5185508
5560,1165010619,131,1150.563714,127.0012163,37.52269288
5561,1165010619,45,1376.94744,127.0063244,37.50300578
5562,1165010311,128,114.7203758,127.0131714,37.45542168
5563,1165010311,68,1566.201345,127.0068668,37.47075847
5564,1165010311,99,1671.653556,127.0014531,37.46833525
5565,1165010602,106,532.0155338,127.0087279,37.51928935
5566,1165010602,131,1333.645345,127.0014735,37.52304688
5567,1165010602,45,1373.746274,127.0063244,37.50300578
5568,1165010116,100,821.8931612,126.9818035,37.47623832
5569,1165010116,26,825.4684696,126.9812504,37.47643177
5570,1165010116,8,873.1978755,126.9814178,37.47584426
5571,1165010109,21,655.2092967,126.9825548,37.49561563
5572,1165010109,86,669.2238568,126.9824778,37.49574496
5573,1165010109,119,1018.312947,126.9867742,37.49869099
5574,1165010804,45,1320.425592,127.009918,37.49871926
5575,1165010804,68,1440.144458,127.0162506,37.48472578
5576,1165010804,99,1934.128399,127.0172426,37.47904369
5577,1165010102,99,194.126807,127.0058754,37.47592547
5578,1165010102,68,226.8664942,127.0065772,37.47598767
5579,1165010102,45,680.3417961,127.000363,37.48246175
5580,1165010829,68,107.9194093,127.0170214,37.4833458
5581,1165010829,99,356.8374816,127.0162057,37.47929553
5582,1165010829,45,1351.539597,127.0028473,37.48471103
5583,1165011104,129,145.2414672,127.0564171,37.45094185
5584,1165011104,99,1329.225547,127.0481167,37.46067027
5585,1165011104,10,1750.869454,127.0482776,37.46554119
5586,1165011102,129,89.50501357,127.0563218,37.45113996
5587,1165011102,99,1293.087977,127.0488624,37.46130015
5588,1165011102,10,1669.329674,127.0498135,37.46634074
5589,1165010621,106,848.3533888,127.0078259,37.51845663
