route_id,route_name,route_type
ICB165000389,304,좌석
ICB165000391,60-5,좌석
ICB165000392,320,좌석
ICB165000408,223A,간선
ICB165000409,M6628,광역
ICB165000412,117,좌석
ICB165000415,중구1,순환
ICB165000416,중구2,순환
ICB165000417,중구2-1,순환
ICB165000418,중구3,순환
ICB165000419,중구4,순환
ICB165000421,1302,광역
ICB165000439,43-1,간선
ICB165000441,43,간선
ICB165000442,81,간선
ICB165000445,204,간선
ICB165000452,302B,좌석
ICB165000466,58(강화),지선
ICB165000467,59(강화),지선
ICB165000473,18(강화),순환
ICB165000474,49(강화),순환
ICB165000477,10A(강화),지선
ICB165000478,11A(강화),지선
ICB165000479,12A(강화),순환
ICB165000481,53A(강화),순환
ICB165000483,306A,좌석
ICB165000487,31A(강화),순환
ICB165000488,31B(강화),순환
ICB165000491,9(강화),지선
ICB165000496,44A(강화),순환
ICB165000497,6770,광역
ICB165000498,701,지선
ICB165000499,702,지선
ICB165000501,557A,지선
ICB165000504,35A(강화),순환
ICB165000505,35B(강화),순환
ICB165000507,44,간선
ICB165000508,310,좌석
ICB165000509,330,좌석
ICB165000511,동구-1,순환
ICB165000512,동구-2,순환
ICB165000513,532,지선
ICB165000514,순환41,지선
ICB165000515,순환42,지선
ICB165000516,순환43,지선
ICB165000517,순환44,지선
ICB165000518,순환54,지선
ICB165000519,순환56,지선
ICB165000520,63,간선
ICB166000001,584-1,지선
ICB166000004,111B,좌석
ICB166000006,인천e음55,지선
ICB166000007,인천e음61,지선
ICB166000008,인천e음71,지선
ICB166000009,순환83,지선
ICB166000010,급행91,급행
ICB166000011,562,지선
ICB167000001,급행95,급행
ICB168000002,중구6-1,순환
ICB168000003,205,간선
ICB168000005,M6439,광역
