no,name,apt_id,lon,lat,dist,url
6374,푸르니작은어린이집,1165010842,127.0211995,37.48821043,430.8959127,
6375,푸르니서초어린이집,1165010842,127.0237949,37.4874097,430.579753,
6376,서초연꽃어린이집,1165010842,127.0169677,37.49190681,642.1773912,
6377,서초아이자람어린이집,1165010842,127.0222237,37.48900777,305.9805831,
6378,락앤락샛별어린이집,1165010842,127.0183524,37.48766705,653.24577,
6379,자연의아이들어린이집,1165010842,127.0271257,37.4865758,582.7151366,
6405,햇살담는어린이집,1165010304,127.0245798,37.47243223,153.542722,
6406,성촌어린이집,1165010304,127.0206325,37.46717936,526.6009112,
6407,함께크는어린이집,1165010304,127.0267229,37.47333318,358.6101429,
6435,성촌어린이집,1165010310,127.0206325,37.46717936,641.3461832,
6442,햇살담는어린이집,1165010301,127.0245798,37.47243223,146.1695351,
6443,성촌어린이집,1165010301,127.0206325,37.46717936,654.1217129,
6444,함께크는어린이집,1165010301,127.0267229,37.47333318,336.6336881,
6445,서울시인재개발원쑥쑥어린이집,1165010830,127.0208536,37.4803762,605.64426,
6446,서초장미어린이집,1165010830,127.0284303,37.48418339,508.3647612,
6447,푸르니작은어린이집,1165010830,127.0211995,37.48821043,331.0548168,
6448,푸르니서초어린이집,1165010830,127.0237949,37.4874097,217.0009535,
6449,서초아이자람어린이집,1165010830,127.0222237,37.48900777,386.4564017,
6450,락앤락샛별어린이집,1165010830,127.0183524,37.48766705,468.2509628,
6451,자연의아이들어린이집,1165010830,127.0271257,37.4865758,385.4824107,
6545,성촌어린이집,1165010306,127.0206325,37.46717936,501.0706935,
6579,푸르니작은어린이집,1165010802,127.0211995,37.48821043,543.7677108,
6580,푸르니서초어린이집,1165010802,127.0237949,37.4874097,680.9055767,
6581,서초연꽃어린이집,1165010802,127.0169677,37.49190681,374.808957,
6582,서초아이자람어린이집,1165010802,127.0222237,37.48900777,468.9265819,
6583,락앤락샛별어린이집,1165010802,127.0183524,37.48766705,645.1499469,
6608,서울시인재개발원쑥쑥어린이집,1165010834,127.0208536,37.4803762,502.3084751,
6609,푸르니작은어린이집,1165010834,127.0211995,37.48821043,376.7366107,
6610,푸르니서초어린이집,1165010834,127.0237949,37.4874097,414.6253258,
6611,서초아이자람어린이집,1165010834,127.0222237,37.48900777,486.8638046,
